,Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
328,328,Matt Grice,68,145.0,68,4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5,0,1,0,0,44.0,0
329,329,Forrest Griffin,75,205.0,75,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,0,1,0,0,47.0,0
330,330,Jordan Griffin,70,145.0,70,2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8,0,0,1,0,36.0,0
331,331,Josh Grispi,71,145.0,71,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2,0,1,0,0,37.0,0
332,332,Kendall Grove,78,185.0,78,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,0,1,0,0,43.0,0
333,333,Vik Grujic,71,170.0,71,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,0,1,0,0,49.0,0
334,334,Mike Grundy,67,145.0,67,2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6,0,1,0,0,39.0,0
335,335,Shannon Gugerty,70,155.0,70,1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4,0,1,0,0,44.0,0
336,336,Clay Guida,67,155.0,67,2.44,0.34,2.57,0.63,3.36,0.38,0.68,0.7,0,1,0,0,44.0,0
337,337,Melvin Guillard,69,155.0,69,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,0,1,0,0,43.0,0
338,338,Jorge Gurgel,67,155.0,67,3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5,0,1,0,0,49.0,0
339,339,John Gunderson,69,155.0,69,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,0,1,0,0,47.0,0
340,340,Alexander Gustafsson,77,205.0,77,4.02,0.4,3.42,0.51,1.54,0.39,0.83,0.4,0,1,0,0,39.0,0
341,341,Chris Gutierrez,69,145.0,69,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,0,1,0,0,34.0,0
342,342,Tim Hague,76,260.0,76,2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9,0,1,0,0,42.0,0
343,343,Mike Guymon,72,170.0,72,2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2,0,1,0,0,51.0,0
344,344,Damir Hadzovic,69,155.0,69,2.99,0.46,2.99,0.66,0.68,0.6,0.39,0.2,0,1,0,0,39.0,0
345,345,Ryan Hall,70,145.0,70,2.32,0.43,0.96,0.75,0.31,0.16,0.0,0.9,0,0,1,0,41.0,0
346,346,Dennis Hallman,69,155.0,69,1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1,0,1,0,0,50.0,0
347,347,Uriah Hall,72,185.0,72,3.34,0.51,3.54,0.53,0.67,0.38,0.69,0.2,0,1,0,0,41.0,0
348,348,Piotr Hallmann,69,155.0,69,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,0,1,0,0,38.0,0
349,349,Kay Hansen,62,115.0,62,3.57,0.59,3.03,0.54,2.19,0.25,1.0,1.6,0,1,0,0,26.0,1
350,350,Dan Hardy,72,170.0,72,2.46,0.35,3.44,0.51,0.73,0.35,0.35,0.4,0,1,0,0,43.0,0
351,351,Dale Hartt,70,155.0,70,1.14,0.35,1.55,0.66,1.22,1.0,0.25,2.5,0,1,0,0,47.0,0
352,352,Walt Harris,77,250.0,77,2.95,0.38,3.43,0.54,0.3,0.28,0.72,0.1,0,0,1,0,42.0,0
353,353,Clay Harvison,73,170.0,73,3.29,0.48,3.91,0.58,0.66,1.0,0.68,1.3,0,1,0,0,45.0,0
354,354,John Hathaway,73,170.0,73,3.4,0.4,1.8,0.62,2.61,0.43,0.6,0.9,0,1,0,0,38.0,0
355,355,Dustin Hazelett,73,170.0,73,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1,0,1,0,0,39.0,0
356,356,James Head,73,170.0,73,2.75,0.48,3.11,0.49,0.41,1.0,0.66,0.8,0,1,0,0,42.0,0
357,357,Pat Healy,72,155.0,72,2.57,0.36,2.57,0.5,3.08,0.37,0.55,1.1,0,1,0,0,42.0,0
358,358,David Heath,71,205.0,71,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0,0,1,0,0,50.0,0
359,359,Marcin Held,69,155.0,69,1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3,0,1,0,0,34.0,0
360,360,Ian Heinisch,71,185.0,71,3.28,0.5,2.79,0.58,1.13,0.18,0.6,0.8,0,1,0,0,37.0,0
361,361,Benson Henderson,69,170.0,69,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,0,0,1,0,42.0,0
362,362,Johny Hendricks,69,185.0,69,3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3,0,0,1,0,42.0,0
363,363,Dan Henderson,71,185.0,71,2.44,0.47,2.7,0.51,1.52,0.52,0.57,0.3,0,1,0,0,55.0,0
364,364,Luis Henrique,74,243.0,74,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0,0,1,0,0,32.0,0
365,365,Danny Henry,72,145.0,72,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2,0,1,0,0,37.0,0
366,366,Ed Herman,73,205.0,73,3.32,0.49,3.35,0.43,2.21,0.48,0.6,1.2,0,1,0,0,45.0,0
367,367,Jack Hermansson,73,185.0,73,5.03,0.44,3.46,0.54,1.96,0.34,0.75,0.7,0,1,0,0,37.0,0
368,368,Anthony Hernandez,72,185.0,72,4.92,0.55,5.09,0.47,3.76,0.66,0.7,1.9,0,1,0,0,32.0,0
369,369,Geane Herrera,65,125.0,65,1.51,0.31,5.07,0.52,0.83,0.37,0.38,0.6,0,1,0,0,35.0,0
370,370,Felice Herrig,64,115.0,64,3.63,0.36,4.84,0.49,1.18,0.3,0.72,0.9,0,1,0,0,41.0,1
371,371,Heath Herring,76,250.0,76,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,0,1,0,0,48.0,0
372,372,Marcus Hicks,66,155.0,66,1.42,0.43,3.06,0.61,2.7,0.53,0.25,4.0,0,0,1,0,50.0,0
373,373,Jimy Hettes,69,145.0,69,3.47,0.57,3.5,0.57,5.2,0.44,0.61,1.4,0,0,1,0,38.0,0
374,374,Jay Hieron,72,170.0,72,1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0,0,1,0,0,49.0,0
375,375,Jason High,68,155.0,68,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8,0,0,1,0,44.0,0
376,376,Angela Hill,63,115.0,63,5.66,0.5,4.98,0.64,0.45,0.36,0.76,0.1,0,1,0,0,41.0,1
377,377,Hatsu Hioki,71,145.0,71,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6,0,1,0,0,42.0,0
378,378,Kuniyoshi Hironaka,70,168.0,70,1.98,0.4,3.01,0.54,1.91,0.3,0.25,0.6,0,1,0,0,49.0,0
379,379,Mizuto Hirota,67,155.0,67,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,0,1,0,0,44.0,0
380,380,Kevin Holland,75,185.0,75,4.14,0.56,2.58,0.56,1.08,0.45,0.51,0.7,0,1,0,0,33.0,0
381,381,Andrew Holbrook,71,155.0,71,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1,0,0,1,0,40.0,0
382,382,Max Holloway,71,145.0,71,7.26,0.46,4.58,0.6,0.21,0.71,0.84,0.3,0,1,0,0,34.0,0
383,383,Holly Holm,68,135.0,68,3.16,0.38,2.8,0.57,0.81,0.3,0.76,0.1,0,0,1,0,44.0,1
